Puunro	X	Y	Hmax	Hmean	h30	h50	h70	h90	p30	p50	p70	p90	puulaji	dbh_mm	h_dm
47896	50154.2	19130.43	7.537	5.891228	5.32	5.9345	6.4406	7.1054	0.01875	0.0625	0.4875	0.865625	jalava	266	NA
49872	46611.24	22973.26	5.532	3.786585	3.5667	3.8545	4.1373	4.6403	0.1825	0.395	0.8275	0.9825	orapihlaja	133	54
49873	46613.63	22971.41	4.883	3.566192	3.1936	3.654	3.9752	4.4638	0.216667	0.370833	0.6875	0.916667	orapihlaja	134	NA
49874	46623.3	22942.96	5.233	3.387752	3.0875	3.4365	3.7525	4.1775	0.254587	0.607798	0.91055	0.990826	orapihlaja	146	69
49875	46630.58	22936.57	8.27	3.607516	3.0836	3.439	3.9842	4.527	0.661734	0.970402	0.970402	0.970402	orapihlaja	101	NA
49876	46628.14	22933.07	3.86	2.933817	2.72	2.945	3.212	3.438	0.188366	0.479224	0.756233	0.975069	orapihlaja	133	51
49877	46628.65	22929	4.618	3.173317	2.7985	3.195	3.5045	3.988	0.295872	0.552752	0.850917	0.972477	orapihlaja	132	NA
49878	46628.77	22921.98	5.922	4.163497	3.7468	4.137	4.5342	4.9704	0.019608	0.22409	0.568627	0.894958	orapihlaja	186	69
49879	46632.39	22916.44	6.01	4.069475	3.549	4.122	4.661	5.121	0.179364	0.440694	0.693346	0.968177	orapihlaja	180	NA
49880	46640.34	22905.19	8.105	3.620953	2.8247	3.8415	4.0899	4.4583	0.454545	0.96395	0.974922	0.976489	orapihlaja	139	52
49881	46639.07	22900.87	5.394	4.328559	4.0178	4.382	4.7108	4.9506	0.031949	0.079872	0.408946	0.830671	orapihlaja	161	NA
49882	46641.96	22893.61	6.339	4.555136	4.0418	4.662	5.0718	5.6036	0.05848	0.290448	0.561404	0.910331	orapihlaja	146	84
49883	46644.58	22892.41	5.371	4.428694	4.0618	4.5915	4.8504	5.086	0.007463	0.037313	0.171642	0.440299	orapihlaja	142	NA
49886	46647.33	22881.75	4.954	3.77219	3.4919	3.762	4.0799	4.4433	0.05122	0.256098	0.646341	0.953659	orapihlaja	135	55
49887	46657.11	22868.97	5.741	3.85621	3.4429	3.861	4.3899	4.8675	0.169782	0.495327	0.805296	0.981308	orapihlaja	166	NA
