Puunro	X	Y	Hmax	Hmean	h30	h50	h70	h90	p30	p50	p70	p90	puulaji	dbh_mm	h_dm
397	50791.34	22468.07	10.502	4.751551	3.4882	4.148	4.8466	10.0532	0.602899	0.875362	0.878261	0.881159	pihlaja	172	61
398	50779.99	22461.41	6.821	4.753226	4.0532	4.637	5.4592	6.1108	0.063613	0.315522	0.564885	0.753181	pihlaja	216	NA
399	50772.41	22453.71	6.654	4.734296	4.0278	4.7725	5.3775	6.0739	0.081522	0.399457	0.660326	0.92663	pihlaja	217	75
400	50764.49	22445.34	7.127	4.705383	4.1956	4.659	5.2242	6.077	0.124736	0.408034	0.758985	0.961945	pihlaja	221	NA
401	50759.98	22441.45	7.303	4.903412	4.1598	4.885	5.5574	6.362	0.051765	0.383529	0.609412	0.861176	pihlaja	223	80
402	50750.46	22432.41	7.04	4.715068	4.1255	4.708	5.378	6.025	0.122807	0.346491	0.657895	0.947368	pihlaja	208	NA
403	50745.15	22427.4	6.677	4.80867	4.3245	4.919	5.429	6.047	0.079399	0.229614	0.495708	0.813305	pihlaja	213	78
404	50740.18	22423.04	6.816	4.538546	4.007	4.55	5.1596	5.9254	0.170431	0.400411	0.712526	0.936345	pihlaja	211	NA
405	50735.4	22417.25	7.506	4.777731	4.2183	4.7175	5.4117	6.3729	0.163683	0.478261	0.765985	0.964194	pihlaja	254	82
406	50732	22410.06	10.385	4.702377	3.6522	4.1865	5.1602	6.1974	0.554688	0.886719	0.923828	0.923828	pihlaja	196	NA
407	50722.24	22405.79	6.116	4.109012	3.6424	4.072	4.5807	5.2797	0.156371	0.434363	0.735521	0.944015	pihlaja	176	67
409	50745.67	22410.79	6.709	4.371806	3.7408	4.2625	4.8707	5.7956	0.155612	0.443878	0.742347	0.92602	pihlaja	199	NA
410	50751.05	22415.81	6.893	4.232593	3.5586	4.1285	4.8866	5.6847	0.268519	0.574074	0.824074	0.975309	pihlaja	179	71
411	50756.81	22420.96	6.776	4.314423	3.5898	4.203	4.9174	5.891	0.203846	0.523077	0.746154	0.915385	pihlaja	183	NA
417	50776.48	22440.14	7.366	4.749188	4.0156	4.96	5.575	6.166	0.187817	0.411168	0.690355	0.959391	pihlaja	198	80
420	50796.17	22459.31	6.333	4.164552	3.4784	3.808	4.908	5.754	0.174863	0.595628	0.715847	0.934426	pihlaja	160	71
426	50737.61	22373.04	6.189	4.238171	3.6242	4.254	4.7576	5.478	0.14786	0.420233	0.708171	0.914397	pihlaja	157	NA
440	50837.76	22310	6.544	4.502274	3.9038	4.533	5.1342	5.8514	0.150442	0.371681	0.654867	0.902655	pihlaja	161	69
441	50849.78	22321.05	6.791	4.461185	3.869	4.326	5.0374	5.9202	0.134454	0.445378	0.672269	0.848739	pihlaja	159	NA
442	50854.66	22326.28	6.625	4.457814	3.799	4.271	5.2226	5.8052	0.186047	0.418605	0.604651	0.868217	pihlaja	166	73
443	50859.2	22330.74	6.414	4.413331	3.8525	4.3185	5.0736	5.5335	0.123077	0.384615	0.592308	0.946154	pihlaja	171	NA
444	50863.81	22334.99	6.08	4.424516	3.802	4.456	5.225	5.797	0.164835	0.32967	0.538462	0.78022	pihlaja	161	67
445	50872.36	22339.99	10.157	4.631071	3.452	4.2	4.893	6.1285	0.515873	0.888889	0.904762	0.904762	pihlaja	158	NA
446	50873.55	22344.7	5.69	4.026577	3.5198	3.952	4.4894	5.1342	0.094891	0.379562	0.620438	0.861314	pihlaja	156	62
447	50879.22	22349.47	6.234	4.191643	3.5617	4.1095	4.7528	5.5057	0.107143	0.39881	0.613095	0.821429	pihlaja	154	NA
448	50883.76	22354.27	6.326	4.272244	3.9656	4.325	4.7262	5.5126	0.164634	0.310976	0.737805	0.902439	pihlaja	179	69
449	50890.14	22358.62	6.125	4.323199	3.74	4.196	4.834	5.512	0.070175	0.350877	0.625731	0.836257	pihlaja	159	NA
450	50895.23	22363.64	6.855	4.404305	3.8952	4.22	4.9749	5.6464	0.15	0.52	0.745	0.96	pihlaja	174	66
451	50901.55	22367.77	6.389	4.39075	3.8729	4.465	4.9692	5.4778	0.160714	0.392857	0.741071	0.96875	pihlaja	163	NA
691	49388.07	21940.06	9.23	5.656056	4.344	5.374	6.74	8.438	0.197183	0.43662	0.676056	0.830986	pilari	121	104
692	49381.98	21938.57	7.428	4.597737	3.4104	4.618	5.14	7.1048	0.315789	0.473684	0.736842	0.842105	pilari	91	NA
693	49375.81	21937.5	8.023	5.298633	4.0506	5.153	6.4217	7.416	0.166667	0.466667	0.566667	0.733333	pilari	96	NA
694	49370.45	21936	9.073	5.297359	3.7031	5.5265	6.3856	8.0107	0.328125	0.5	0.796875	0.921875	pilari	120	98
695	49364.51	21934.43	8.547	4.932781	3.4444	4.179	6.4016	7.7111	0.4375	0.59375	0.71875	0.90625	pilari	94	90
696	49358.5	21933.36	8.371	5.205474	3.5138	5.2335	6.4068	7.6798	0.315789	0.5	0.684211	0.894737	pilari	99	NA
697	49349.63	21931.25	8.752	5.197308	3.91	4.89	6.812	7.902	0.307692	0.564103	0.692308	0.897436	pilari	100	96
698	49343.91	21930.03	10.033	5.557517	3.8233	5.4245	6.6279	9.1645	0.383333	0.566667	0.783333	0.9	pilari	114	NA
700	49348.47	21936.42	9.168	5.86294	4.417	6.1605	7.2959	8.7002	0.26	0.42	0.62	0.88	pilari	126	NA
701	49356.9	21938.66	9.295	5.725097	4.1555	5.433	7.4669	8.5893	0.306452	0.532258	0.612903	0.887097	pilari	112	NA
702	49363.27	21940.5	7.649	4.7961	3.5528	4.434	5.7474	7.0501	0.333333	0.533333	0.7	0.866667	pilari	104	NA
704	49374.64	21943.07	7.538	4.455933	3.0784	4.401	5.5398	6.7643	0.4	0.5	0.7	0.9	pilari	101	NA
705	49380.52	21944.19	8.809	5.577288	4.1544	5.038	7.0616	8.3376	0.237288	0.508475	0.576271	0.830508	pilari	134	NA
706	49386.86	21945.86	9.888	5.99144	4.0371	5.8665	8.1203	9.3903	0.345238	0.5	0.654762	0.845238	pilari	135	106
787	49154.04	21885.19	8.446	5.4448	4.0998	5.228	6.5674	8.1114	0.228571	0.371429	0.657143	0.771429	pilari	119	87
792	49183.16	21891.75	7.572	3.8335	2.9825	3.079	3.4545	5.8283	0.625	0.75	0.875	0.875	pilari	82	82
1128	48740.23	21868.4	6.137	4.347766	4.1021	4.31	4.71	5.3144	0.084677	0.169355	0.560484	0.858871	vaahtera	121	NA
1129	48739.83	21864.61	6.674	4.624291	3.974	4.557	5.101	5.73	0.010782	0.339623	0.636119	0.865229	vaahtera	216	80
1130	48742.07	21857.57	7.859	5.398292	4.703	5.469	6.3904	7.076	0.098086	0.382775	0.636364	0.923445	vaahtera	190	NA
1131	48742.68	21852.78	6.798	4.475954	3.766	4.415	5.2	6.125	0.182573	0.497925	0.738589	0.925311	vaahtera	119	71
1132	48743.62	21849.36	6.184	4.225618	3.6429	4.1325	4.8303	5.4181	0.133858	0.472441	0.716535	0.972441	vaahtera	156	NA
1133	48745.08	21845.01	5.769	4.294707	3.9164	4.461	4.69	5.1352	0.063415	0.22439	0.531707	0.926829	vaahtera	131	64
1136	48748.08	21828.39	5.77	4.105627	3.6579	4.308	4.6571	5.1621	0.151899	0.341772	0.683544	0.936709	vaahtera	115	NA
1137	48750.25	21824.41	5.84	4.066573	3.694	4.1525	4.5845	4.912	0.136364	0.248252	0.527972	0.888112	vaahtera	124	61
1138	48751.02	21819.05	6.767	4.438788	3.7509	4.4985	5.0433	5.7348	0.173529	0.408824	0.720588	0.952941	vaahtera	137	NA
1139	48750.98	21815.83	6.297	4.926359	4.8645	5.205	5.49	5.9245	0.082524	0.203883	0.402913	0.868932	vaahtera	132	62
1195	48633.25	22057.48	9.389	7.513152	7.119	7.564	8.0768	8.8896	0	0.003891	0.031128	0.136187	jalava	229	110
1196	48656.17	22061.16	9.795	7.148954	6.723	7.749	8.346	9.053	0.103734	0.19917	0.381743	0.813278	jalava	220	NA
1197	48663.6	22061.83	9.705	7.07504	5.9279	6.9595	8.2919	9.1116	0	0.080645	0.330645	0.564516	jalava	180	96
1198	48668.25	22063.39	10.94	8.126749	7.4264	8.103	9.0534	9.8626	0	0.034749	0.166023	0.447876	jalava	202	NA
1199	48675.43	22064.15	11.003	7.601044	6.6632	7.294	8.199	10.1422	0.034921	0.107937	0.51746	0.749206	jalava	233	111
1201	48672.13	22076.42	10.301	7.929926	7.399	8.1365	8.605	9.298	0.013298	0.047872	0.359043	0.896277	jalava	240	NA
1202	48659.43	22071.07	7.661	5.502378	4.6671	5.757	6.3855	6.9056	0.076087	0.258152	0.434783	0.82337	jalava	179	90
1204	48666.6	22085.41	7.44	5.789793	5.4422	5.942	6.3144	7.0296	0.020339	0.108475	0.355932	0.813559	jalava	177	NA
1205	48662.65	22084.86	7.869	6.226175	5.8457	6.357	6.7758	7.2275	0.008547	0.025641	0.213675	0.628205	jalava	170	90
1206	48653.54	22082.09	7.405	5.64502	4.7652	5.99	6.4408	7.0486	0.01005	0.170854	0.39196	0.532663	jalava	195	NA
1207	48647.66	22081.87	7.156	5.051981	4.7044	5.27	6.0802	6.6832	0.174194	0.229032	0.532258	0.780645	jalava	187	80
1209	48587.15	22065.99	8.015	6.662072	6.518	6.777	7.213	7.669	0.004237	0.080508	0.224576	0.745763	jalava	182	NA
1210	48576.74	22063.02	6.765	5.29877	4.959	5.242	5.7984	6.3734	0	0.01791	0.116418	0.337313	jalava	155	86
1211	48566.48	22060.91	12.536	5.504419	4.6696	5.078	5.6839	6.4453	0.518072	0.933735	0.945783	0.951807	jalava	168	NA
1212	48561.93	22060.02	7.676	5.505685	5.0307	5.5495	6.0398	7.0725	0	0.176923	0.3	0.646154	jalava	159	83
1213	48555.33	22057.34	10.791	7.837222	7.2202	7.93	8.5407	9.9178	0.006684	0.11631	0.347594	0.737968	jalava	286	NA
1214	48539.72	22051.72	12.216	6.228557	5.9692	6.415	6.7892	7.1741	0.157233	0.836478	0.984277	0.984277	jalava	214	88
1227	48529.59	22050.86	9.91	6.627306	5.7126	6.1615	7.5364	8.6127	0.003584	0.09319	0.548387	0.706093	jalava	203	NA
1229	48466.47	22037.32	12.427	7.282308	6.394	7.49	8.2996	8.873	0.019763	0.284585	0.632411	0.964427	jalava	216	NA
1230	48457.99	22035.21	9.977	7.256338	6.6714	7.304	8.2306	9.2528	0.037559	0.164319	0.474178	0.84507	jalava	227	99
1231	48449.08	22032.57	7.944	6.056855	5.7168	6.274	6.6428	7.5772	0.025157	0.100629	0.289308	0.654088	jalava	203	NA
1233	48429.06	22029.68	8.958	7.099885	6.6167	7.354	7.9543	8.682	0.019231	0.086538	0.225962	0.461538	jalava	226	NA
1248	48525.82	22041.84	6.921	5.663763	5.2055	5.9685	6.3585	6.699	0.038136	0.080508	0.228814	0.461864	jalava	148	88
1251	48541.1	22046.04	11.617	5.005024	4.316	4.975	5.31	5.681	0.468254	0.960317	0.960317	0.960317	jalava	140	77
1252	48545.07	22045.86	6.902	5.407405	4.911	5.371	6.1725	6.6745	0.007937	0.079365	0.214286	0.52381	jalava	132	81
1253	48555.64	22049.72	8.23	6.52798	6.1546	6.575	6.9193	7.5603	0.004032	0.016129	0.129032	0.653226	jalava	182	96
1254	48567.84	22055.4	11.928	7.241621	6.042	7.221	8.294	9.653	0.072089	0.460259	0.822551	0.968577	jalava	248	105
1255	48575.61	22056.19	8.217	6.398396	5.4769	6.89	7.5658	7.9902	0.017857	0.182143	0.364286	0.482143	jalava	212	NA
1257	48587.83	22055.97	9.347	6.936434	6.3704	7.229	7.8106	8.7076	0.047458	0.176271	0.39661	0.80339	jalava	251	98
1259	48571.51	22038.58	12.175	8.187781	6.9792	8.461	9.775	10.6438	0.019908	0.226646	0.42879	0.713629	jalava	230	136
1260	48565.92	22039.36	9.835	7.229351	6.1724	7.2575	8.4732	9.2522	0.041436	0.251381	0.51105	0.838398	jalava	227	NA
1261	48561.03	22037.8	11.675	7.625638	6.3535	6.8195	8.9406	10.6233	0.019231	0.378846	0.626923	0.848077	jalava	246	NA
1262	48554.81	22037.25	10.417	6.615533	5.2576	5.953	8.0092	9.3438	0.07619	0.48254	0.653968	0.847619	jalava	226	122
1263	48544.44	22032.22	12.088	7.218032	6.1751	6.8575	8.3878	9.4455	0.083333	0.428922	0.683824	0.95098	jalava	205	NA
1264	48541.41	22034.5	10.955	7.761066	6.4968	7.563	9.111	10.274	0.039604	0.20462	0.544554	0.775578	jalava	201	124
1265	48534.09	22032.27	11.355	7.54245	6.7006	7.201	8.1414	9.9472	0.03794	0.273713	0.731707	0.926829	jalava	220	NA
1266	48527.42	22030.1	9.284	6.045148	5.1662	5.831	6.6778	7.8638	0.015385	0.338462	0.692308	0.923077	jalava	179	107
1267	48521.27	22028.26	9.098	6.409386	5.4874	6.549	7.3312	8.151	0.043836	0.293151	0.586301	0.90411	jalava	152	NA
1268	48579.34	22043.38	8.005	6.197558	5.383	6.4145	7.0331	7.6654	0.00365	0.09854	0.313869	0.485401	jalava	187	NA
1270	48480.94	22021.68	8.647	6.456814	5.7578	6.673	7.3786	7.9002	0.020101	0.100503	0.296482	0.502513	jalava	190	117
1271	48477.33	22016.55	12.072	5.983119	4.997	5.682	6.6174	7.7382	0.197492	0.670846	0.946708	0.965517	jalava	179	NA
1272	48470.73	22017.78	7.393	5.791248	5.349	5.754	6.443	6.816	0.003215	0.045016	0.128617	0.540193	jalava	153	83
1273	48463.29	22016.42	8.408	5.845924	5.4726	5.893	6.3224	6.928	0.02521	0.162465	0.677871	0.955182	jalava	195	NA
1274	48454.37	22013.21	9.59	6.077062	5.0026	5.936	7.2582	8.4938	0.122078	0.433766	0.654545	0.896104	jalava	209	114
1275	48443.04	22011.85	6.273	4.898682	4.6175	4.859	5.112	5.748	0	0.016949	0.09322	0.372881	jalava	117	NA
1276	48435.76	22008.92	7.655	5.651973	4.8225	5.921	6.295	6.831	0.008403	0.073529	0.371849	0.602941	jalava	166	88
1332	48724.35	21611.32	10.756	7.318047	5.7212	6.7155	9.0695	10.0079	0.031955	0.379699	0.56391	0.734962	poppeli	273	133
1333	48732.5	21610.76	7.035	4.218517	3.4641	3.8075	4.8305	5.8964	0.241667	0.6	0.766667	0.933333	tammi	131	73
1334	48731.72	21616.98	7.478	4.867905	4.168	4.833	5.355	6.443	0.085308	0.36019	0.677725	0.872038	tammi	150	NA
1335	48743.39	21615.02	5.914	4.095597	3.893	4.13	4.4154	4.7879	0.05814	0.251938	0.724806	0.968992	tammi	172	61
1336	48742.93	21620.58	9.565	5.999128	5.2287	5.841	6.7711	8.0628	0.105839	0.408759	0.726277	0.927007	tammi	181	NA
1344	48751.96	21620.67	7.488	4.53625	3.8865	4.524	5.1243	6.0567	0.204545	0.5	0.818182	0.962121	tammi	151	75
1345	48750.88	21611.9	11.156	4.704808	4.0787	4.33	4.6203	5.0587	0.716667	0.916667	0.916667	0.916667	tammi	123	NA
1351	48762.14	21620.27	11.496	7.410561	5.5982	7.6755	8.9712	10.4869	0.124074	0.375926	0.644444	0.875926	poppeli	269	NA
1352	48767.02	21623.28	8.48	5.594301	4.3635	5.6025	7.091	7.731	0.171329	0.43007	0.611888	0.84965	poppeli	193	76
1353	48772.14	21623.72	7.41	4.989328	4.0684	4.745	5.8293	6.8287	0.102649	0.490066	0.695364	0.897351	poppeli	174	NA
1355	48779.6	21628.6	11.879	7.014959	6.4634	7.43	7.9942	8.9522	0.152142	0.364845	0.870015	0.988183	poppeli	289	124
1462	48844.88	21312.07	24.928	12.192566	8.3422	11.477	15.4274	20.0114	0.329843	0.597906	0.81466	0.986387	poppeli	390	259
1463	48832.16	21312.62	20.926	11.614042	8.029	11.329	15.009	18.178	0.275601	0.506953	0.709229	0.944374	poppeli	343	NA
1464	48826.45	21311.5	19.33	10.955596	8.156	10.966	13.453	16.171	0.209564	0.471167	0.731364	0.963432	poppeli	324	211
1465	48821.84	21311.23	18.971	10.736903	8.2844	10.647	13.1624	15.9256	0.217527	0.467919	0.740219	0.967136	poppeli	292	NA
1466	48815.8	21309.9	20.431	12.358879	9.5466	12.8505	15.8571	18.2886	0.228155	0.349515	0.555825	0.796117	poppeli	276	NA
2023	47200.3	22186.56	10.5	4.855665	4.221	4.99	5.44	6.063	0.322981	0.776398	0.993789	0.993789	tammi	201	76
2024	47200.54	22177.39	12.001	6.859041	5.9546	6.7245	7.6395	9.2551	0.127273	0.477273	0.822727	0.975	tammi	249	NA
2025	47202.09	22174	9.244	5.662511	4.79	5.778	6.2946	7.6934	0.183857	0.376682	0.721973	0.90583	tammi	181	89
2026	47201.87	22164.31	7.188	5.103339	4.6082	4.9905	5.6016	6.387	0.028736	0.281609	0.689655	0.942529	tammi	226	NA
2027	47201.51	22158.08	6.478	4.59704	4.3816	4.741	5.0382	5.8586	0.133333	0.253333	0.653333	0.893333	tammi	160	66
2043	47037.77	22197.15	5.893	3.804079	2.8545	3.737	4.6035	5.573	0.325397	0.531746	0.706349	0.857143	mänty	148	69
2045	47036.2	22212.81	11.167	6.021706	4.569	6.1595	7.643	8.9299	0.325085	0.56058	0.812287	0.99744	mänty	121	53
2064	47010.76	22196.53	6.195	4.095553	3.5225	4.065	4.6239	5.5216	0.211538	0.5	0.778846	0.947115	mänty	166	71
2065	47003.31	22192.02	6.503	3.80189	3.1254	3.47	4.2358	5.7156	0.431193	0.678899	0.816514	0.926606	mänty	203	73
2066	47005.93	22187.68	11.663	6.702206	4.923	6.4015	8.5141	10.0018	0.281746	0.547619	0.702381	0.940476	koivu	172	110
2067	46998.95	22182.47	13.734	7.333978	5.3962	6.74	8.845	11.6726	0.313901	0.596413	0.816143	0.973094	koivu	156	NA
2068	46993.17	22177.31	11.951	6.823393	5.562	6.293	7.597	10.3736	0.230126	0.577406	0.811715	0.953975	koivu	152	116
2069	46987.45	22171.52	13.652	7.466987	5.9779	6.653	8.4285	11.8658	0.201681	0.592437	0.752101	0.915966	koivu	154	NA
2070	46982.41	22166.51	15.606	7.682797	5.5632	6.826	8.4326	12.7177	0.339827	0.688312	0.816017	0.937229	koivu	178	156
2071	46976.34	22161.61	17.53	8.333796	5.2745	6.974	10.268	15.0505	0.412844	0.65367	0.791284	0.896789	koivu	182	NA
2072	46968.98	22154.08	11.92	7.548502	6.3596	6.9315	8.7866	10.7063	0.090909	0.293182	0.620455	0.802273	koivu	172	128
2099	47269.07	22124.61	10.136	5.913669	5.1632	5.634	6.4714	8.1256	0.155136	0.614256	0.870021	0.909853	tammi	248	93
2100	47257.24	22128.1	5.513	4.204652	4.0564	4.271	4.4652	4.862	0.032746	0.148615	0.521411	0.919395	tammi	196	NA
2101	47250.33	22127.15	5.484	3.762184	3.3328	3.655	4.3608	5.0814	0.22449	0.55102	0.693878	0.877551	tammi	109	64
2102	47242.58	22127.19	8.465	5.120365	4.438	5.042	5.8236	6.894	0.19603	0.545906	0.826303	0.967742	tammi	218	NA
2103	47239.32	22137.63	11.427	5.299918	4.6335	5.196	5.6596	6.7753	0.35	0.876316	0.976316	0.989474	tammi	188	81
2104	47249.24	22137.89	8.146	5.387005	4.7791	5.4135	6.0644	6.9873	0.093583	0.358289	0.745989	0.970588	tammi	246	NA
2105	47257.15	22138.19	8.652	6.162925	5.557	6.217	7.084	7.853	0.047382	0.221945	0.531172	0.820449	tammi	255	107
2106	47263.47	22137.96	7.602	4.886187	4.4559	5.194	5.4522	6.2708	0.208633	0.374101	0.841727	0.960432	tammi	150	NA
2252	48390.69	22004.82	6.23	3.979956	3.1841	4.1175	4.7347	5.4098	0.318681	0.483516	0.763736	0.967033	mänty	177	70
2526	47443.23	21465.03	16.094	10.629071	9.0916	10.64	12.7064	14.2612	0.031432	0.293364	0.623981	0.927823	leppä	336	NA
2527	47450.4	21465.23	15.991	10.050176	8.2546	10.0495	11.4281	13.4739	0.036199	0.374434	0.735294	0.968326	leppä	340	151
2529	47460.87	21466.03	14.427	10.415339	8.8605	10.973	12.366	13.631	0.081395	0.21124	0.467054	0.829457	leppä	274	NA
2532	47506.05	21468.36	16.877	10.362271	8.399	10.756	12.752	15.143	0.143162	0.378205	0.648504	0.916667	leppä	380	189
2533	47513.27	21468.37	17.516	11.886233	9.81	11.96	14.4141	15.7694	0.051411	0.287298	0.570565	0.919355	leppä	405	NA
2534	47520.54	21468.47	17.07	11.120621	9.4788	10.852	12.7134	15.3203	0.034606	0.293556	0.671838	0.904535	leppä	354	177
2535	47527.08	21469.38	16.88	12.34741	11.046	12.327	14.196	15.65	0.038304	0.098495	0.493844	0.859097	leppä	323	NA
2536	47531.63	21469.58	16.619	13.529602	13.0198	14.167	14.9819	15.7172	0.019108	0.05414	0.095541	0.312102	leppä	365	180
2537	47538.19	21470.37	17.067	11.887222	10.3044	12.26	13.8436	15.1924	0.036961	0.197125	0.525667	0.926078	leppä	281	NA
2538	47542.4	21471.37	15.271	11.132918	10.1076	11.286	12.9578	14.4824	0.028103	0.217799	0.487119	0.793911	leppä	291	171
2539	47547.89	21471.82	18.058	12.679546	10.894	12.8945	14.409	16.624	0	0.009615	0.165865	0.4375	leppä	357	NA
2540	47553.27	21471.5	18.995	14.166419	12.381	15.0895	16.3075	18.0915	0	0.036585	0.231707	0.402439	leppä	317	194
2542	47565.47	21473.39	16.589	12.391094	10.4131	12.9075	14.3333	15.5837	0.003125	0.115625	0.409375	0.75	leppä	326	NA
2543	47571.36	21473.28	16.377	12.029085	10.2992	12.176	14.0473	15.4555	0.029091	0.156364	0.481818	0.807273	leppä	290	170
2544	47577.63	21472.93	16.298	12.502457	11.5177	12.6925	14.0868	15.0477	0.002273	0.022727	0.129545	0.422727	leppä	232	NA
2545	47580.78	21473.43	16.948	12.342022	11.115	12.5835	14.2458	15.4367	0.009191	0.141544	0.422794	0.801471	leppä	368	194
2546	47592.89	21473.73	16.391	12.939941	11.8829	13.062	14.497	15.5709	0.001202	0.007212	0.117788	0.344952	leppä	320	NA
2547	47597.34	21473.28	14.742	10.821157	9.2992	11.233	12.9352	13.7986	0.014837	0.189911	0.364985	0.700297	leppä	277	158
2548	47604.65	21475.29	17.786	10.674502	8.341	10.951	12.35	15.12	0.09063	0.427035	0.745008	0.932412	leppä	328	NA
2549	47615.3	21474.56	15.156	10.105343	8.5462	10.1015	11.8363	13.3954	0.050157	0.297806	0.601881	0.926332	leppä	292	157
2550	47620.31	21476.29	15.807	11.128094	9.7718	11.59	13.048	14.4212	0.060698	0.186646	0.494689	0.884674	leppä	295	NA
2551	47625.74	21475.96	15.337	9.940616	8.16	10.6025	12.2205	13.7517	0.104265	0.327014	0.60545	0.920616	leppä	354	155
2552	47668.63	21478.12	16.564	10.148552	8.5145	10.4045	11.5465	14.5585	0.095559	0.384253	0.775908	0.927995	leppä	418	NA
2553	47676.28	21478.03	14.723	8.066611	6.838	8.576	9.683	12.805	0.251649	0.459001	0.799246	0.93968	leppä	358	149
2554	47694.09	21479.92	14.777	9.654901	8.423	10	11.6718	13.2988	0.111982	0.295633	0.608063	0.927212	leppä	387	NA
2555	47697.5	21479.52	15.394	10.574457	9.1046	10.6315	11.9832	13.8548	0.023504	0.237179	0.570513	0.905983	leppä	274	173
2580	45277.72	21639.87	17.257	11.968431	8.6146	12.304	14.9328	16.4768	0.001364	0.180082	0.410641	0.523874	mänty	439	172
2584	45350.45	21586.87	10.003	6.472431	5.7582	6.35	7.3044	8.6042	0.084806	0.34629	0.731449	0.922261	paju	240	NA
2585	45363.81	21573.87	11.781	8.338891	7.6288	8.197	8.9706	10.5162	0.025105	0.07113	0.60251	0.861925	paju	231	140
2586	45368.08	21580.25	18.877	13.890983	13.227	14.633	16.17	17.135	0.054931	0.094881	0.2397	0.553059	mänty	434	185
2587	45375.58	21574.43	16.886	12.197898	9.7686	13.8935	15.544	16.1414	0.146512	0.25814	0.397674	0.623256	mänty	380	185
2591	45398	21549.75	17.122	13.597876	12.7204	13.933	15.3364	16.5824	0.009276	0.048237	0.198516	0.539889	paju	883	220
2593	45421.32	21529.69	15.904	8.329549	6.237	6.954	10.0685	13.7345	0.258681	0.628472	0.772569	0.916667	paju	730	NA
2594	45427.79	21519.68	15.933	11.051496	9.114	11.7725	13.7168	14.8861	0.117391	0.247826	0.491304	0.813043	paju	696	182
2595	45439.29	21514.8	16.94	10.366033	7.8676	10.18	13.347	14.9874	0.167173	0.382979	0.653495	0.951368	paju	886	NA
2611	45452.52	21500.46	15.2	10.211585	8.5364	10.312	12.126	14.0844	0.07305	0.308983	0.583416	0.872655	paju	468	170
2612	45458.48	21492.12	11.117	8.306624	7.2348	8.814	9.2092	10.514	0.025641	0.145299	0.376068	0.735043	paju	181	NA
2613	45466.37	21488.64	21.565	14.58537	12.1162	15.459	18.0738	20.2482	0.118547	0.277884	0.518164	0.848948	paju	670	137
2615	45479.83	21470.17	13.081	10.38874	9.574	10.747	11.729	12.369	0.008677	0.049892	0.27115	0.62256	paju	369	NA
2616	45485.41	21462.54	12.573	9.528055	8.78	9.707	10.788	11.71	0.01731	0.117177	0.359521	0.764314	paju	420	156
2617	45493.51	21453.83	10.093	7.897185	7.2298	8.137	8.9228	9.4408	0.021922	0.092749	0.382799	0.802698	paju	322	NA
2618	45498.49	21447.75	10.043	7.477529	6.7705	7.5455	8.5668	9.3595	0.037109	0.162109	0.4375	0.765625	paju	315	125
2619	45504.84	21439.54	10.44	7.733673	6.7464	7.9415	8.9316	9.8567	0.00722	0.202166	0.444043	0.756318	paju	298	NA
2621	45519.23	21423.51	9.395	6.486959	5.5948	7.198	7.947	8.6616	0.17833	0.302483	0.469526	0.875847	paju	276	118
2622	45522.71	21415.04	14.618	9.952682	8.7	10.9	12.0262	13.2322	0.123139	0.258457	0.496617	0.91475	paju	472	NA
2623	45529.17	21406.51	15.835	10.121157	9.0334	10.471	11.6334	14.074	0.098069	0.288031	0.704247	0.941313	paju	693	163
2626	45547.21	21380.82	11.68	8.776557	7.7475	8.8605	9.996	10.97	0.002463	0.039409	0.278325	0.534483	paju	291	NA
2629	45577.56	21329.66	13.877	10.314506	9.2538	11.476	12.2498	13.096	0.06867	0.23319	0.377682	0.778255	paju	525	161
2632	45595.23	21294.37	10.655	7.380677	6.59	7.449	8.25	9.596	0.042296	0.238671	0.643505	0.903323	paju	510	NA
2634	45611.05	21266.94	12.329	9.462325	9.226	10.2735	11.0345	11.5915	0.088906	0.12538	0.300912	0.784195	paju	573	149
3267	48153.93	20139.5	11.824	7.936055	6.7952	8.135	8.8266	10.2574	0.015584	0.220779	0.457143	0.818182	lehmus	415	108
3268	48144.16	20137.28	11.55	7.535051	6.3707	7.239	7.9869	10.5784	0	0.126214	0.480583	0.752427	lehmus	404	NA
3269	48137.61	20132.49	12.086	7.69226	6.2353	7.4325	8.8965	11.0442	0.051163	0.430233	0.686047	0.869767	lehmus	355	NA
3303	48143.26	20070.43	7.881	5.459069	4.7338	5.225	5.8908	7.169	0.005291	0.132275	0.507937	0.772487	lehmus	183	NA
3304	48141.1	20062.64	8.178	5.886815	5.333	5.8715	6.5526	7.2028	0.021008	0.180672	0.592437	0.911765	lehmus	200	NA
3305	48142.26	20056.63	10.22	6.288853	5.548	6.087	6.726	8.047	0.031873	0.394422	0.820717	0.932271	lehmus	224	NA
3306	48136.19	20039.15	17.492	10.640242	8.438	10.8685	12.465	14.9065	0.096037	0.353659	0.6875	0.922256	lehmus	364	177
3307	48135.6	20030.35	14.006	9.360038	8.0226	9.4385	10.5846	12.7645	0.046703	0.291209	0.686813	0.89011	lehmus	266	NA
3308	48133.45	20023.89	15.432	9.839138	8.3506	9.793	11.8254	13.2166	0.126195	0.344168	0.659656	0.929254	lehmus	302	NA
3309	48134.22	20015.65	15.088	9.281352	8.1576	9.159	10.3098	13.1998	0.142232	0.334792	0.752735	0.919037	lehmus	298	NA
