Puunro	X	Y	Hmax	Hmean	h30	h50	h70	h90	p30	p50	p70	p90	puulaji
7196	47746.37	17670.88	5.691	4.573928	4.2808	4.517	4.7684	5.4828	0	0.014493	0.072464	0.333333	lehmus
7197	47726.69	17668.1	7.289	4.7659	3.8114	4.481	5.2865	7.2212	0.23125	0.53125	0.75625	0.81875	lehmus
7198	47737.21	17670.32	6.56	3.997424	3.4166	3.794	4.399	5.1594	0.216	0.56	0.856	0.968	lehmus
7200	47713.09	17668.54	11.142	4.57664	3.9826	4.368	5.1272	5.7112	0.546763	0.978417	0.985612	0.985612	lehmus
7201	47669.48	17665.98	4.743	3.4741	2.9002	3.377	3.9108	4.5042	0.15	0.375	0.55	0.7	lehmus
7202	47661.48	17664.85	5.659	3.889833	3.0781	3.9355	4.4917	5.0902	0.3	0.4	0.666667	0.9	lehmus
7203	47651.76	17664.07	6.737	4.396558	3.7648	4.241	4.7646	6.169	0.090909	0.402597	0.623377	0.831169	lehmus
7204	47644.59	17661.96	6.925	4.346233	3.6658	3.823	4.9338	5.5332	0.069767	0.534884	0.697674	0.906977	lehmus
7205	47634.88	17663.52	6.322	4.40769	3.791	4.116	5.08	5.652	0.042254	0.380282	0.605634	0.84507	lehmus
7206	47626.66	17662.63	6.687	4.492637	4.0652	4.351	4.8874	5.6895	0.068627	0.343137	0.745098	0.921569	lehmus
7221	47693.34	17632.22	6.306	4.376403	3.817	4.287	4.6864	5.7726	0.038961	0.324675	0.649351	0.818182	lehmus
7222	47695.38	17623.98	5.324	3.842806	3.134	3.9875	4.366	4.923	0.166667	0.361111	0.5	0.75	lehmus
7224	47698.94	17600.04	5.542	4.04336	3.5666	4.069	4.5058	5.1206	0.16	0.24	0.48	0.76	lehmus
7225	47702.98	17633.13	5.348	3.771583	3.2325	3.5255	4.49	4.9705	0.194444	0.527778	0.638889	0.861111	lehmus
7227	47703.61	17625	5.481	3.772813	3.0902	3.486	4.3163	5.1703	0.1875	0.4375	0.59375	0.75	lehmus
7236	47946.39	17515.13	7.004	4.08126	3.5829	4.006	4.4727	5.1278	0.244792	0.666667	0.921875	0.96875	lehmus
